Sample,Label,Color,Marker,Size,Alpha,pH,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4,NO3,TDS
GW1,C1,red,o,30,0.6,7,89.31,62.91,188.22,13.01,304.01,0,298.52,248.57,3.54,16134.41314
GW2,C1,red,o,30,0.6,7,56.51,54.67,259.47,17.56,459.66,0,221.29,257.97,1.31,19206.40857
GW3,C1,red,o,30,0.6,7,20.62,67.88,262.32,21.61,336.29,0,268.95,234.68,0.1,19398.40829
GW4,C1,red,o,30,0.6,7,63.76,70,405,20.5,460.06,0,271.32,588.18,0.1,20550.40657
GW5,C1,red,o,30,0.6,7,63.71,91.67,405,33,280.75,0,593.7,351.79,0.49,20742.40629
GW6,C1,red,o,30,0.6,7,12.04,17.4,492.42,18.07,447.1,0,311.33,306.79,47.28,20934.406
GW7,C1,red,o,30,0.6,7,8.01,10.36,496.66,19.18,573.17,0,323.25,231.51,9.72,21510.40514
GW8,C1,red,o,30,0.6,7,24.41,53.59,557.9,30.41,455.12,0,570.82,409.5,1.78,22086.40429
GW9,C1,red,o,30,0.6,7,6.68,7,631.55,20.14,527.3,0,321.71,463.79,22.85,22278.404
GW10,C1,red,o,30,0.6,7,29.2,64.74,850.7,39.77,698.07,0,821.53,368.6,2.1,22470.40371
GW11,C1,red,o,30,0.6,7,40.81,68.27,854.64,42.79,729.22,0,927.2,419.82,2.18,22662.40343
GW12,C1,red,o,30,0.6,7,38.87,75.96,932.5,45,524.48,0,1043.77,561.82,1.92,22854.40314
GW13,C1,red,o,30,0.6,7,43.51,90.67,946.1,44.17,639.97,0,1059.96,567.78,1.98,25350.39943
GW14,C1,red,o,30,0.6,7,11.78,85.15,984.33,41.49,562.42,0,1152.63,546.04,15.45,26694.39743
GW15,C1,red,o,30,0.6,7,47,89.81,1067,46.54,646.25,0,1221.17,588.29,1.85,28422.39486
GW16,C1,red,o,30,0.6,7,46.15,89.11,1123.73,44.99,667.5,0,1138.35,695.03,9.17,29382.39343
GW17,C2,yellow,o,30,0.6,7,232.98,40.37,55.89,2.11,202.02,0,197.86,231.33,174.26,23046.40286
GW18,C2,yellow,o,30,0.6,7,173.65,56.71,65.11,2.9,109.73,0,113.59,241.38,351.87,28230.39514
GW19,C2,yellow,o,30,0.6,7,215.48,49.34,68,3.65,203.49,0,138.97,452.26,88.25,29574.39314
GW20,C2,yellow,o,30,0.6,7,110.55,44.59,73.19,8.54,155.75,0,102.54,277.32,48.32,32454.38886
GW21,C2,yellow,o,30,0.6,7,186.26,34.85,79,1.6,205.73,0,185.56,236.52,136.25,34758.38543
GW22,C2,yellow,o,30,0.6,7,118.4,53.58,79.02,10.04,167.41,0,114.21,382.85,9.42,34950.38514
GW23,C2,yellow,o,30,0.6,7,244.09,77.95,80.56,5.23,215.33,0,130.67,682.51,2.59,36678.38257
GW24,C2,yellow,o,30,0.6,7,228.97,92.9,81.78,10.67,70.25,0,233.57,648.9,7.55,37446.38143
GW25,C2,yellow,o,30,0.6,7,153.54,52.06,84.61,6.68,186.9,0,103.79,397.36,26.97,15174.41457
GW26,C2,yellow,o,30,0.6,7,167.98,62.1,85.83,39.95,165.26,0,155.54,307.32,283.46,17286.41143
GW27,C2,yellow,o,30,0.6,7,100.04,52.27,87.6,6.6,79.63,0,135.43,386.69,19,35334.38457
GW28,C2,yellow,o,30,0.6,7,196.88,54.94,87.78,7.66,116.33,0,138.01,305.41,407.32,35910.38371
GW29,C2,yellow,o,30,0.6,7,194.84,55.96,89.94,7.74,161.98,0,136.02,349.73,332.92,36486.38286
GW30,C2,yellow,o,30,0.6,7,148.7,45.31,90.04,7.34,267.2,0,160.11,258.48,84.42,1290.64
GW31,C2,yellow,o,30,0.6,7,186.56,60.65,98.44,7.66,252.53,0,126.11,526.21,3.61,2118.434
GW32,C2,yellow,o,30,0.6,7,172.8,56.07,98.97,7.2,226.81,0,120.14,488.7,20.96,2310.433714
GW33,C2,yellow,o,30,0.6,7,159.1,52.26,99.15,5.23,208.17,0,110.59,478.5,0.18,2502.433429
GW34,C2,yellow,o,30,0.6,7,138.36,47.12,100.25,4.85,147.39,0,161.72,399.56,0.6,2694.433143
GW35,C2,yellow,o,30,0.6,7,189.18,69.92,105.63,3.37,135.05,0,125.4,642.83,7.47,3270.432286
GW36,C2,yellow,o,30,0.6,7,151.8,53.02,105.91,5.72,115.82,0,159.45,193.33,348.66,3462.432
GW37,C2,yellow,o,30,0.6,7,187.32,62.61,106,4.2,171.95,0,127.51,610.82,6.35,3654.431714
GW38,C2,yellow,o,30,0.6,7,216.16,66.63,106.01,6.41,261.04,0,134.04,585.86,0.67,3846.431429
GW39,C2,yellow,o,30,0.6,7,202.71,65.21,106.2,5.27,255.44,0,152.78,749.93,2.44,4038.431143
GW40,C2,yellow,o,30,0.6,7,174.78,64.91,106.28,7.01,139.15,0,125.74,639.46,2.34,4230.430857
GW41,C2,yellow,o,30,0.6,7,211.91,65.91,106.73,8.53,246.88,0,122.41,584.08,9.17,4614.430286
GW42,C2,yellow,o,30,0.6,7,222,75.08,107,6.41,279.23,0,128.87,609.4,1.2,4806.43
GW43,C2,yellow,o,30,0.6,7,198.58,67.93,108.45,5.78,222.09,0,122.37,664.59,0.1,5190.429429
GW44,C2,yellow,o,30,0.6,7,119.85,51.07,110,27.75,197.45,0,144.6,215.28,251.3,5382.429143
GW45,C2,yellow,o,30,0.6,7,136.49,63.12,113.66,39.52,202.93,0,199.09,226.72,269.1,5574.428857
