Well,X,Y,Sampling year,Sampling season,pH,Ca,Mg,K,Na,Cl,SO4,HCO3,Fe,F,NH4
J1,592509.17,3397087.46,1992,dry,6.9,62.7,13,0.9,14.9,12.5,10,257.5,0.05,0.16,n.d.
J1,592509.17,3397087.46,1992,wet,7.1,68.4,14.5,0.6,13,13.8,22.5,277.5,0.08,0.2,n.d.
J1,592509.17,3397087.46,1993,dry,6.9,74.2,13,0.7,13.1,13.8,10,287.5,0.1,0.28,0.04
J1,592509.17,3397087.46,1993,wet,7.9,68.4,14.5,1.3,13,12.5,5,280,0.08,0.2,n.d.
J1,592509.17,3397087.46,1994,dry,7.1,66.8,13,0.6,12.7,13.8,7.5,272.5,0.7,0.16,n.d.
J1,592509.17,3397087.46,1995,dry,6.9,60.2,13.5,0.6,13,12.5,15,250,n.d.,0.24,n.d.
J1,592509.17,3397087.46,1995,wet,6.9,64.3,13,0.8,14.9,16.3,12.5,250.1,0.08,0.32,n.d.
J1,592509.17,3397087.46,1996,dry,6.9,61.84,14,0.6,14,15,26,242.51,0.02,0.12,n.d.
J1,592509.17,3397087.46,1996,wet,6.7,63.49,13,0.88,13.8,16.25,10,242.51,n.d.,0.16,n.d.
J1,592509.17,3397087.46,1997,dry,8.15,66.78,11,0.6,13.75,15,16,245.01,0.1,0.04,n.d.
J1,592509.17,3397087.46,1997,wet,8.29,62.66,14,0.61,11.72,15,12,220.005,0.6,0.28,n.d.
J1,592509.17,3397087.46,1998,dry,6.61,64.31,13.5,1.1,14.7,13.75,18,247.51,n.d.,0.12,n.d.
J1,592509.17,3397087.46,1998,wet,6.67,64.31,12.5,0.5,11.7,18.75,7.2,245.01,n.d.,0.28,n.d.
J1,592509.17,3397087.46,1999,dry,7.25,62.66,12,0.8,13.6,15,16,240.005,0.02,0.16,n.d.
J1,592509.17,3397087.46,1999,wet,6.67,64.31,11.5,0.7,14.7,16.25,18,245.01,0.04,0.24,0.02
J1,592509.17,3397087.46,2000,dry,7.85,64.31,12,0.61,13.12,15,10,242.51,0.04,0.2,n.d.
J1,592509.17,3397087.46,2000,wet,7.05,63.49,12.5,0.67,13.33,18.75,10,250.005,0.02,0.16,n.d.
J1,592509.17,3397087.46,2001,dry,7,67.61,11,0.67,13.57,16.25,10,245.01,0.1,0.24,n.d.
J1,592509.17,3397087.46,2001,wet,6.83,67.61,12.5,0.6,13.57,17.5,10,245.01,0.02,0.24,0.02
J1,592509.17,3397087.46,2002,dry,6.92,68.43,13,0.798,13.861,18.75,18,255.01,0.1,0.24,n.d.
J1,592509.17,3397087.46,2002,wet,7.5,70.08,13,0.96,12.78,17.5,17.2,260.005,0.04,0.2,n.d.
J1,592509.17,3397087.46,2003,dry,7.97,65.14,14.5,0.82,14.02,18.75,17.5,247.51,0.08,0.16,n.d.
J1,592509.17,3397087.46,2003,wet,7.91,65.14,14,0.61,14.54,16.25,30,245.01,n.d.,0.12,0.03
J1,592509.17,3397087.46,2004,dry,8.22,67.61,13,0.56,13.54,15,20,230.005,0.2,0.16,n.d.
J1,592509.17,3397087.46,2004,wet,8.16,65.96,16.5,0.6,12.49,18.75,19.2,235.01,0.08,0.2,n.d.
J1,592509.17,3397087.46,2005,dry,7.13,64.31,13.5,0.6,13.3,18.75,11.6,250,0.02,0.16,n.d.
J1,592509.17,3397087.46,2005,wet,7.8,66.78,12.5,0.6,13.05,17.5,8,245,0.02,0.2,n.d.
J1,592509.17,3397087.46,2006,dry,7.93,69.26,12,0.56,13.2,21.25,22,245,0.04,0.24,n.d.
J1,592509.17,3397087.46,2006,wet,8.19,71.73,12.5,0.61,14.03,26.25,15,232.5,0.04,0.12,n.d.
J1,592509.17,3397087.46,2007,wet,8.45,68.43,12.5,0.51,13.68,20,9,222.5,0.06,0.12,n.d.
J1,592509.17,3397087.46,2008,dry,7.09,65.96,12.5,0.68,13.12,15,20,240,0.02,0.16,n.d.
J1,592509.17,3397087.46,2008,wet,7.78,64.31,13,0.76,14.23,17.5,22,255,0.04,0.24,n.d.
J1,592509.17,3397087.46,2009,dry,7.15,109.66,28.5,0.91,37.83,8.75,80,455,2.8,0.32,0.16
J1,592509.17,3397087.46,2009,wet,8.27,76.68,12,0.72,14.88,25,20,247.5,n.d.,0.24,n.d.
J1,592509.17,3397087.46,2010,dry,7.18,64.31,14.5,0.89,13.83,18.75,15,247.5,0.02,0.2,n.d.
J1,592509.17,3397087.46,2010,wet,7.54,72.56,12,0.59,12.83,23.75,12,245,n.d.,0.24,n.d.
J1,592509.17,3397087.46,2011,dry,7.37,65.96,14,0.59,13.15,16.25,4,277.5,n.d.,0.2,n.d.
J1,592509.17,3397087.46,2011,wet,8.28,65.37,15.58,1.03,15.34,22.35,10,260.04,n.d.,0.27,n.d.
J1,592509.17,3397087.46,2012,dry,7.78,64.23,25.66,1.21,16.9,18.19,20,288.8,0.08,0.2,n.d.
J1,592509.17,3397087.46,2012,wet,7.89,69.72,13.78,0.88,25.91,25.19,35,271.93,0.08,0.2,n.d.
J1,592509.17,3397087.46,2013,dry,7.3,66.53,14.58,1.17,15.61,17.58,16,271.2,1.09,0.2,n.d.
J1,592509.17,3397087.46,2013,wet,7.64,76.95,9.72,1.53,14.49,16.37,23.21,258.77,0.07,0.23,n.d.
J1,592509.17,3397087.46,2014,dry,6.92,179.46,45.96,0.98,44.4,80.6,114.11,617.99,0.08,0.24,n.d.
J1,592509.17,3397087.46,2014,wet,7.39,148.3,36.46,0.99,34.77,66.74,90,485.72,0.15,0.23,n.d.
J10,624283,3351788,1997,dry,7.1,164.9,29.5,3.4,206.5,458.8,27.5,370,5.2,n.d.,n.d.
J10,624283,3351788,1997,wet,7.6,80,13.5,3,63.6,117,12.5,282.5,1.2,0.2,0.44
J10,624283,3351788,1998,dry,7.3,158.3,28,5,202,460,12.5,362.5,1.3,0.12,1.2
J10,624283,3351788,1998,wet,7.4,156.6,29,5,188,500,7.5,345,0.11,n.d.,n.d.
J10,624283,3351788,1999,dry,7.4,155,27,6.7,224,485,5,350,0.8,n.d.,n.d.
J10,624283,3351788,1999,wet,7.5,81.6,14,5.8,112.8,192.5,7.5,267.5,1,0.2,0.4
J10,624283,3351788,2000,dry,7.3,168.2,29.5,8,335,630,37.5,360,0.9,n.d.,n.d.
J10,624283,3351788,2000,wet,7.1,179.7,30,4.8,319,710,10,350.2,1,n.d.,n.d.
J10,624283,3351788,2001,dry,7.48,184.69,32,4,412.5,850,13,372.52,1.3,0.02,1.1
J10,624283,3351788,2001,wet,7.46,169.02,38,4.3,415,862.5,9,352.52,1.2,0.28,1.8
